Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
P0ADF8,Acetolactate synthase isozyme 1 small subunit OS=Escherichia coli (strain K12) GN=ilvN PE=1 SV=1,ilvN,10,670.52,11080.60733,2,1.98E-02,5.17E-02,4.93E-02,3.40E-02,2.83E-02,3.83E-02,4.05E-02,1.17E-02,4.69E-02,3.78E-02,3.70E-02,4.45E-02,2.55E-02,6.59E-03,5.14E-02,2.13E-02,2.28E-02,3.81E-02,2.48E-02,2.54E-02,3.28E-02,2.95E-02
P75823,Low specificity L-threonine aldolase OS=Escherichia coli (strain K12) GN=ltaE PE=1 SV=1,ltaE,10,587.83,36453.59645,2,1.91E-02,2.49E-02,2.49E-02,2.72E-02,2.21E-02,1.87E-02,2.23E-02,2.02E-02,2.32E-02,2.65E-02,2.63E-02,2.08E-02,9.71E-03,8.43E-03,1.84E-02,2.06E-02,1.94E-02,2.39E-02,2.02E-02,2.33E-02,2.29E-02,2.06E-02
Q46863,Putative binding protein ygiS OS=Escherichia coli (strain K12) GN=ygiS PE=1 SV=1,ygiS,10,473.99,60638.16307,1,4.77E-03,7.50E-03,NA,1.14E-02,1.45E-02,7.68E-03,7.56E-03,9.67E-03,1.67E-02,1.73E-02,2.36E-02,2.68E-02,3.87E-03,3.27E-03,3.01E-03,3.98E-03,4.91E-03,NA,NA,7.11E-03,1.24E-02,NA
P76027,Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2,oppD,10,556.37,37145.94441,2,8.88E-03,4.54E-02,8.04E-02,5.16E-03,1.06E-02,1.04E-02,8.78E-03,1.02E-02,1.10E-02,1.06E-02,7.85E-03,8.35E-03,3.71E-03,3.48E-03,7.43E-03,8.34E-03,8.45E-03,1.23E-02,6.77E-03,5.12E-03,9.42E-03,8.00E-03
P30860,ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2,artJ,10,660.72,26794.65139,2,4.16E-01,5.76E-02,1.04E-01,1.39E-01,1.80E-01,2.14E-01,2.27E-01,1.96E-01,1.96E-01,1.55E-01,2.10E-01,2.45E-01,8.32E-02,9.57E-02,2.16E-01,3.46E-01,2.16E-01,1.66E-01,1.92E-01,1.80E-01,1.72E-01,2.62E-01
P0A7A9,Inorganic pyrophosphatase OS=Escherichia coli (strain K12) GN=ppa PE=1 SV=2,ppa,10,663.31,19673.02389,2,2.73E-01,4.69E-01,4.17E-01,1.83E-01,2.49E-01,2.62E-01,2.47E-01,2.19E-01,1.93E-01,1.76E-01,1.45E-01,1.35E-01,2.18E-01,2.09E-01,3.64E-01,3.37E-01,3.42E-01,3.14E-01,2.68E-01,2.31E-01,2.63E-01,3.01E-01
P0ABJ9,Cytochrome d ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cydA PE=1 SV=1,cydA,10,647.64,58149.04843,2,3.33E-02,1.35E-01,6.37E-02,4.13E-02,3.86E-02,6.40E-02,5.00E-02,3.27E-02,7.21E-02,7.45E-02,8.52E-02,1.00E-01,4.04E-02,3.43E-02,2.80E-02,7.48E-02,6.63E-02,6.38E-02,4.54E-02,3.82E-02,4.24E-02,6.61E-02
P0ABI8,Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1,cyoB,10,534.62,74300.34181,2,1.18E-01,2.99E-01,2.36E-01,1.05E-01,1.24E-01,1.37E-01,1.15E-01,2.15E-01,1.81E-01,1.40E-01,1.11E-01,1.04E-01,6.34E-02,7.81E-02,9.71E-02,1.64E-01,1.19E-01,1.34E-01,1.26E-01,4.51E-02,1.35E-01,1.65E-01
P42593,"2,4-dienoyl-CoA reductase [NADPH] OS=Escherichia coli (strain K12) GN=fadH PE=1 SV=3",fadH,10,558.77,72614.31572,2,5.15E-03,1.62E-02,1.18E-02,2.22E-02,2.30E-02,1.31E-02,1.36E-02,1.97E-02,1.67E-02,2.18E-02,2.39E-02,2.05E-02,3.89E-03,4.56E-03,4.65E-03,6.40E-03,1.19E-02,7.41E-03,1.60E-02,1.36E-02,1.35E-02,9.19E-03
P0A8P3,Probable Fe(2+)-trafficking protein OS=Escherichia coli (strain K12) GN=yggX PE=1 SV=2,yggX,10,371.21,10927.41601,2,6.25E-02,7.71E-02,5.64E-02,2.93E-02,4.19E-02,5.89E-02,5.06E-02,4.83E-02,4.09E-02,3.55E-02,3.21E-02,2.76E-02,4.25E-02,3.60E-02,8.75E-02,8.28E-02,7.04E-02,7.28E-02,4.62E-02,4.58E-02,4.14E-02,6.17E-02
P76621,Protein CsiD OS=Escherichia coli (strain K12) GN=csiD PE=1 SV=2,csiD,10,467.21,37318.85063,2,3.46E-03,3.94E-02,3.83E-02,1.56E-02,1.35E-02,1.29E-02,1.40E-02,1.60E-02,2.04E-02,1.45E-02,1.12E-02,9.34E-03,7.84E-04,1.16E-03,2.80E-03,2.77E-03,3.17E-03,2.79E-03,8.44E-03,9.06E-03,8.98E-03,3.55E-03
P0AAT9,Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1,ybeL,10,508.96,18767.35743,2,1.68E-02,2.05E-02,1.42E-02,1.44E-02,1.92E-02,2.17E-02,1.99E-02,1.60E-02,1.20E-02,1.54E-02,1.92E-02,2.15E-02,2.94E-02,3.15E-02,1.85E-02,3.20E-02,2.35E-02,1.31E-02,2.04E-02,2.77E-02,1.98E-02,1.70E-02
P39401,Phosphoglycerol transferase I OS=Escherichia coli (strain K12) GN=mdoB PE=3 SV=2,mdoB,10,459.54,85422.54757,2,1.10E-02,2.43E-02,2.10E-02,7.72E-03,1.30E-02,9.08E-03,1.25E-02,1.60E-02,1.38E-02,1.32E-02,1.08E-02,8.08E-03,6.32E-03,5.65E-03,3.96E-03,9.68E-03,5.85E-03,9.83E-03,1.68E-02,6.25E-03,1.42E-02,1.59E-02
P37626,Uncharacterized protein yhiI OS=Escherichia coli (strain K12) GN=yhiI PE=4 SV=1,yhiI,9,531.68,38786.71563,2,1.15E-02,2.93E-02,2.35E-02,1.39E-02,1.16E-02,1.30E-02,1.17E-02,1.21E-02,1.33E-02,1.21E-02,8.69E-03,6.77E-03,9.32E-03,5.28E-03,1.75E-02,1.33E-02,8.09E-03,1.82E-02,1.16E-02,7.86E-03,1.34E-02,1.19E-02
P77485,Sensor kinase CusS OS=Escherichia coli (strain K12) GN=cusS PE=1 SV=1,cusS,9,494.67,53686.03324,2,1.94E-02,1.55E-02,1.20E-02,2.34E-02,2.29E-02,1.08E-02,2.23E-02,2.34E-02,1.77E-02,1.97E-02,1.31E-02,1.41E-02,6.55E-03,6.38E-03,9.92E-03,1.92E-02,1.69E-02,1.66E-02,1.97E-02,2.13E-02,2.26E-02,2.46E-02
P69407,Capsular synthesis regulator component B OS=Escherichia coli (strain K12) GN=rcsB PE=1 SV=1,rcsB,9,534.79,23637.75191,2,1.09E-01,1.50E-01,1.20E-01,6.02E-02,6.96E-02,7.17E-02,8.18E-02,7.46E-02,7.39E-02,6.11E-02,5.10E-02,4.94E-02,2.46E-02,2.93E-02,5.49E-02,7.91E-02,8.15E-02,8.80E-02,8.05E-02,6.68E-02,8.07E-02,1.19E-01
P0AAX8,"Probable L,D-transpeptidase YbiS OS=Escherichia coli (strain K12) GN=ybiS PE=1 SV=1",ybiS,9,560.61,33286.1605,2,1.92E-01,1.78E-01,1.89E-01,8.90E-02,1.16E-01,1.55E-01,1.42E-01,1.42E-01,1.40E-01,1.06E-01,8.34E-02,6.75E-02,7.95E-02,6.25E-02,1.76E-01,1.79E-01,1.80E-01,1.56E-01,1.33E-01,1.02E-01,1.47E-01,1.72E-01
P0A8X2,Protein yceI OS=Escherichia coli (strain K12) GN=yceI PE=1 SV=1,yceI,9,617,20881.61917,2,7.26E-02,2.01E-02,3.44E-02,4.89E-02,5.53E-02,3.82E-02,7.25E-02,6.78E-02,3.57E-02,3.58E-02,3.52E-02,2.12E-02,2.14E-02,2.13E-02,4.61E-02,3.13E-02,2.70E-02,2.55E-02,5.35E-02,3.60E-02,4.14E-02,4.84E-02
P0A8H6,Der GTPase-activating protein YihI OS=Escherichia coli (strain K12) GN=yihI PE=1 SV=1,yihI,9,722.88,19029.67039,2,3.71E-02,5.70E-02,8.51E-02,2.32E-02,3.17E-02,2.70E-02,3.10E-02,3.17E-02,3.09E-02,2.06E-02,1.73E-02,1.70E-02,2.53E-02,2.67E-02,3.80E-02,4.36E-02,3.50E-02,2.91E-02,3.21E-02,2.45E-02,3.16E-02,3.31E-02
P77649,UPF0061 protein ydiU OS=Escherichia coli (strain K12) GN=ydiU PE=1 SV=1,ydiU,9,555.53,54329.86646,1,6.30E-03,7.94E-03,NA,2.71E-03,5.29E-03,4.72E-03,6.08E-03,3.03E-03,3.05E-03,7.26E-03,2.01E-03,4.60E-03,1.32E-03,1.23E-03,8.02E-03,7.66E-03,5.94E-03,NA,NA,2.72E-03,4.43E-03,NA
P37691,Uncharacterized protein yibQ OS=Escherichia coli (strain K12) GN=yibQ PE=4 SV=2,yibQ,9,490.55,35312.38878,1,7.37E-03,4.48E-03,NA,3.88E-03,3.01E-03,8.67E-03,3.22E-03,6.60E-04,3.95E-03,2.35E-03,1.86E-03,1.97E-03,8.76E-03,3.75E-03,4.15E-03,2.10E-03,4.55E-03,NA,NA,1.58E-03,2.81E-03,NA
P0AFH8,Osmotically-inducible protein Y OS=Escherichia coli (strain K12) GN=osmY PE=1 SV=1,osmY,9,698.94,21042.86046,2,3.67E-01,1.77E-01,2.37E-01,2.10E-01,1.27E-01,3.19E-01,1.82E-01,9.28E-02,1.78E-01,1.10E-01,1.05E-01,8.57E-02,1.36E+00,9.53E-01,1.33E+00,4.51E-01,1.33E+00,2.60E-01,1.88E-01,1.68E-01,1.14E-01,2.21E-01
P75874,Uncharacterized protein yccU OS=Escherichia coli (strain K12) GN=yccU PE=1 SV=2,yccU,9,627.88,14673.74948,2,4.50E-02,3.84E-02,5.69E-02,3.67E-02,4.11E-02,4.74E-02,4.37E-02,2.38E-02,3.23E-02,3.33E-02,3.73E-02,3.30E-02,6.69E-02,8.07E-02,1.01E-01,4.59E-02,7.73E-02,6.12E-02,8.69E-02,1.26E-01,7.20E-02,6.41E-02
P45470,Protein yhbO OS=Escherichia coli (strain K12) GN=yhbO PE=1 SV=2,yhbO,9,428.88,18828.85417,2,9.00E-03,6.69E-03,5.79E-03,1.05E-02,9.75E-03,9.64E-03,8.89E-03,7.66E-03,9.24E-03,7.73E-03,9.13E-03,1.35E-02,2.17E-02,2.53E-02,3.09E-02,1.33E-02,2.39E-02,9.14E-03,9.29E-03,2.06E-02,6.10E-03,6.43E-03
P0A8Y5,Phosphatase YidA OS=Escherichia coli (strain K12) GN=yidA PE=1 SV=1,yidA,9,394.61,29684.23219,2,2.52E-02,3.18E-02,2.15E-02,8.13E-03,1.08E-02,1.82E-02,1.51E-02,8.04E-03,1.08E-02,6.97E-03,4.74E-03,3.37E-03,1.34E-02,1.06E-02,2.39E-02,1.76E-02,2.63E-02,2.05E-02,1.35E-02,8.64E-03,1.24E-02,1.78E-02
P0AGE6,Uncharacterized protein yieF OS=Escherichia coli (strain K12) GN=yieF PE=3 SV=1,yieF,9,459.37,20344.58726,2,5.70E-02,7.87E-02,4.89E-02,9.02E-02,7.27E-02,5.54E-02,5.62E-02,6.50E-02,6.57E-02,6.22E-02,5.90E-02,6.33E-02,5.99E-02,7.94E-02,9.93E-02,6.10E-02,1.29E-01,7.63E-02,7.49E-02,6.55E-02,5.03E-02,4.71E-02
Q47679,UPF0012 hydrolase yafV OS=Escherichia coli (strain K12) GN=yafV PE=3 SV=1,yafV,9,438.84,28888.47765,1,1.05E-02,3.86E-03,NA,5.47E-03,3.34E-03,4.00E-03,4.17E-03,2.74E-03,2.71E-03,3.87E-03,1.76E-03,2.50E-03,1.07E-03,1.81E-03,4.85E-03,2.92E-03,8.65E-03,NA,NA,2.26E-03,2.92E-03,NA
P75863,Uncharacterized protein ycbX OS=Escherichia coli (strain K12) GN=ycbX PE=1 SV=1,ycbX,9,519.81,40600.63921,2,1.43E-02,2.08E-02,1.71E-02,8.29E-03,1.18E-02,1.44E-02,1.63E-02,1.33E-02,1.08E-02,1.07E-02,1.09E-02,1.16E-02,4.90E-03,4.11E-03,1.22E-02,1.03E-02,1.27E-02,1.64E-02,1.68E-02,1.30E-02,1.48E-02,1.93E-02
P0A9W9,Protein YrdA OS=Escherichia coli (strain K12) GN=yrdA PE=1 SV=1,yrdA,9,579.62,20214.2959,2,2.82E-02,2.93E-02,2.67E-02,9.57E-03,1.57E-02,2.19E-02,2.05E-02,1.83E-02,7.03E-03,8.24E-03,9.47E-03,5.77E-03,3.73E-03,1.13E-02,2.62E-02,2.13E-02,3.64E-02,2.24E-02,3.23E-02,1.97E-02,2.11E-02,3.48E-02
P36649,Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2,cueO,9,504.84,56501.41538,2,9.70E-02,3.97E-02,9.94E-02,6.09E-02,9.50E-02,4.89E-02,9.34E-02,7.31E-02,6.79E-02,5.88E-02,4.84E-02,4.00E-02,1.54E-02,1.65E-02,4.56E-02,1.02E-01,1.16E-01,5.78E-02,7.58E-02,6.82E-02,7.53E-02,6.16E-02
P0ABU5,Enhancing lycopene biosynthesis protein 2 OS=Escherichia coli (strain K12) GN=elbB PE=1 SV=1,elbB,9,586.57,22948.79863,2,4.86E-02,1.34E-01,1.27E-01,6.90E-02,7.43E-02,6.74E-02,6.62E-02,6.79E-02,6.68E-02,7.05E-02,5.75E-02,5.93E-02,3.74E-02,4.12E-02,8.61E-02,6.21E-02,6.15E-02,8.44E-02,6.99E-02,6.31E-02,6.74E-02,5.95E-02
P0ADI4,Isochorismatase OS=Escherichia coli (strain K12) GN=entB PE=1 SV=1,entB,9,335.83,32515.26281,2,1.31E-02,4.94E-03,1.30E-02,5.35E-03,8.17E-03,7.48E-03,8.84E-03,1.09E-02,4.44E-03,4.19E-03,4.04E-03,3.18E-03,1.32E-02,8.60E-03,1.45E-01,1.18E-02,3.59E-02,5.50E-02,6.61E-03,6.66E-03,8.98E-03,9.68E-03
P64604,Probable phospholipid ABC transporter-binding protein mlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1,mlaD,9,548.1,19546.14199,2,3.56E-02,6.21E-02,4.93E-02,1.71E-02,2.35E-02,3.28E-02,3.15E-02,3.25E-02,2.24E-02,1.75E-02,1.53E-02,1.69E-02,4.38E-02,3.42E-02,4.24E-02,6.34E-02,3.63E-02,4.02E-02,4.08E-02,2.09E-02,3.64E-02,3.39E-02
P0A9A9,Ferric uptake regulation protein OS=Escherichia coli (strain K12) GN=fur PE=1 SV=1,fur,9,695.04,16766.34053,2,1.81E-01,2.99E-01,2.34E-01,1.06E-01,1.58E-01,1.85E-01,1.60E-01,1.56E-01,1.45E-01,1.20E-01,1.16E-01,9.87E-02,1.11E-01,1.02E-01,2.08E-01,1.91E-01,1.94E-01,2.00E-01,1.61E-01,1.25E-01,1.51E-01,1.80E-01
P61517,Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1,can,9,712.03,25062.79563,2,1.52E-01,9.65E-02,1.15E-01,8.84E-02,8.89E-02,1.06E-01,1.07E-01,1.06E-01,8.95E-02,6.43E-02,5.31E-02,4.38E-02,1.08E-01,1.02E-01,2.65E-01,1.96E-01,3.43E-01,1.43E-01,1.02E-01,8.76E-02,9.60E-02,1.37E-01
P31060,Putative molybdenum transport ATP-binding protein ModF OS=Escherichia coli (strain K12) GN=modF PE=3 SV=2,modF,9,495.84,54484.31679,2,2.10E-02,4.82E-03,4.63E-03,1.10E-02,1.15E-02,1.31E-02,1.75E-02,1.16E-02,2.18E-02,1.90E-02,1.72E-02,1.23E-02,3.44E-03,7.94E-03,1.73E-02,1.45E-02,1.75E-02,1.40E-02,1.64E-02,1.13E-02,1.44E-02,2.25E-02
P0AG78,Sulfate-binding protein OS=Escherichia coli (strain K12) GN=sbp PE=1 SV=1,sbp,9,550,36618.84053,2,8.25E-02,3.45E-02,4.87E-02,6.72E-02,3.79E-02,9.69E-02,7.56E-02,3.41E-02,3.93E-02,2.51E-02,2.28E-02,1.91E-02,2.68E-02,2.70E-02,3.83E-02,6.05E-02,7.93E-02,3.94E-02,5.59E-02,3.95E-02,3.77E-02,1.01E-01
P39172,High-affinity zinc uptake system protein znuA OS=Escherichia coli (strain K12) GN=znuA PE=1 SV=4,znuA,9,405.72,33738.19213,2,2.43E-02,3.17E-02,1.51E-02,5.34E-03,1.29E-02,5.86E-03,1.22E-02,7.41E-03,5.11E-03,5.33E-03,3.52E-03,2.90E-03,4.70E-03,6.06E-03,1.13E-02,1.20E-02,6.35E-03,9.46E-03,7.78E-03,6.96E-03,1.41E-02,1.36E-02
P0A6L9,Co-chaperone protein hscB OS=Escherichia coli (strain K12) GN=hscB PE=1 SV=1,hscB,9,517.52,20107.15818,2,2.82E-02,3.28E-02,2.73E-02,1.23E-02,1.49E-02,1.57E-02,1.78E-02,1.62E-02,1.98E-02,1.42E-02,9.84E-03,1.04E-02,6.11E-03,6.34E-03,2.15E-02,2.04E-02,1.68E-02,1.57E-02,1.00E-02,7.94E-03,8.49E-03,1.23E-02
P42620,Uncharacterized protein yqjG OS=Escherichia coli (strain K12) GN=yqjG PE=3 SV=1,yqjG,9,469.36,37344.61414,2,6.64E-03,7.23E-03,8.58E-03,8.15E-03,6.43E-03,8.51E-03,5.53E-03,4.25E-03,4.27E-03,5.85E-03,8.66E-03,1.12E-02,1.38E-02,1.23E-02,8.87E-03,5.87E-03,8.01E-03,3.19E-03,4.96E-03,1.02E-02,4.72E-03,3.16E-03
P0A746,Peptide methionine sulfoxide reductase msrB OS=Escherichia coli (strain K12) GN=msrB PE=1 SV=1,msrB,9,516.21,15423.22096,2,3.33E-02,3.24E-02,3.04E-02,3.96E-02,4.79E-02,4.79E-02,3.77E-02,4.41E-02,4.49E-02,4.07E-02,3.36E-02,3.19E-02,1.21E-02,9.07E-03,2.97E-02,4.20E-02,2.71E-02,2.77E-02,3.33E-02,3.22E-02,3.88E-02,2.74E-02
P76104,Uncharacterized protease ydcP OS=Escherichia coli (strain K12) GN=ydcP PE=1 SV=2,ydcP,9,332.91,72638.30677,1,3.28E-03,7.41E-03,NA,1.69E-04,1.29E-03,7.16E-04,1.08E-03,4.54E-04,3.47E-04,3.16E-04,9.73E-04,5.02E-04,2.72E-04,5.28E-04,1.45E-03,3.29E-03,8.00E-04,NA,NA,1.24E-04,1.44E-03,NA
P02918,Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1,mrcA,9,465.65,93559.40765,2,4.79E-03,7.58E-03,5.11E-03,3.78E-03,4.48E-03,6.13E-03,2.90E-03,5.18E-03,5.63E-03,4.98E-03,4.63E-03,4.63E-03,3.27E-03,7.02E-03,1.41E-02,9.83E-03,2.99E-03,7.90E-03,8.54E-03,3.20E-03,1.09E-02,1.46E-02
P0A917,Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1,ompX,9,589.03,18572.91003,2,6.92E-01,7.80E-01,4.12E-01,1.90E-01,1.74E-01,2.66E-01,2.54E-01,1.69E-01,1.64E-01,1.14E-01,1.04E-01,8.78E-02,3.63E-01,7.04E-01,1.03E+00,5.90E-01,1.06E+00,6.03E-01,2.39E-01,2.18E-01,1.66E-01,3.86E-01
P0A905,Outer membrane lipoprotein slyB OS=Escherichia coli (strain K12) GN=slyB PE=2 SV=1,slyB,9,609.67,15574.05822,2,3.65E-01,4.46E-01,4.57E-01,2.59E-01,2.91E-01,2.97E-01,3.57E-01,3.30E-01,2.38E-01,2.14E-01,2.11E-01,2.26E-01,3.46E-01,3.13E-01,3.95E-01,4.40E-01,4.74E-01,2.83E-01,2.80E-01,2.33E-01,2.64E-01,3.46E-01
P76397,Multidrug resistance protein mdtA OS=Escherichia coli (strain K12) GN=mdtA PE=2 SV=2,mdtA,9,375.27,44419.35351,2,9.32E-03,5.20E-03,6.76E-03,8.41E-03,8.76E-03,8.07E-03,8.95E-03,6.20E-03,5.15E-03,4.57E-03,3.93E-03,3.99E-03,5.51E-03,5.51E-03,6.58E-03,1.55E-02,8.39E-03,9.83E-03,8.73E-03,8.16E-03,7.56E-03,1.06E-02
P0C0S1,Small-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscS PE=1 SV=1,mscS,9,533.46,30858.6734,2,1.46E-01,1.76E-01,2.35E-01,8.40E-02,1.15E-01,2.02E-01,1.56E-01,1.51E-01,1.73E-01,1.04E-01,8.81E-02,7.29E-02,8.52E-02,8.84E-02,1.30E-01,2.18E-01,2.01E-01,1.45E-01,1.05E-01,9.25E-02,1.60E-01,1.75E-01
P0A6W5,Transcription elongation factor greA OS=Escherichia coli (strain K12) GN=greA PE=1 SV=1,greA,9,616.61,17612.06622,2,7.16E-02,1.92E-01,1.21E-01,4.78E-02,5.70E-02,6.89E-02,7.11E-02,5.82E-02,6.11E-02,5.29E-02,4.28E-02,4.07E-02,2.56E-02,2.50E-02,6.27E-02,6.78E-02,7.49E-02,7.31E-02,5.83E-02,4.34E-02,6.21E-02,7.79E-02
P13445,RNA polymerase sigma factor rpoS OS=Escherichia coli (strain K12) GN=rpoS PE=3 SV=3,rpoS,9,703.86,37930.72627,2,1.38E-02,8.48E-02,4.13E-02,7.20E-03,6.99E-03,9.52E-03,1.17E-02,4.78E-03,1.99E-02,1.92E-02,1.70E-02,1.14E-02,4.90E-03,5.11E-03,1.26E-02,5.00E-03,1.25E-02,6.62E-03,7.68E-03,9.02E-03,6.08E-03,9.24E-03
P0ABF1,Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2,pcnB,9,400.91,53819.05532,2,3.87E-03,6.64E-03,3.48E-03,1.19E-03,2.15E-03,2.38E-03,2.94E-03,2.47E-03,7.22E-03,4.90E-03,3.55E-03,2.54E-03,1.55E-03,2.43E-03,3.04E-03,4.66E-03,2.52E-03,3.70E-03,2.28E-03,1.92E-03,3.04E-03,3.94E-03
P0A7J3,50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2,rplJ,9,464.84,17682.37957,2,1.01E+00,2.56E+00,1.71E+00,4.35E-01,6.65E-01,7.43E-01,8.30E-01,5.74E-01,6.64E-01,4.24E-01,3.77E-01,2.90E-01,5.14E-01,4.98E-01,9.91E-01,9.81E-01,1.00E+00,9.40E-01,5.87E-01,4.66E-01,7.05E-01,9.65E-01
P0AA10,50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1,rplM,9,606.86,15990.53156,2,8.36E-01,1.99E+00,1.31E+00,3.58E-01,5.62E-01,6.34E-01,6.51E-01,4.87E-01,5.60E-01,3.73E-01,2.82E-01,2.26E-01,3.88E-01,3.52E-01,7.78E-01,8.85E-01,8.31E-01,7.47E-01,5.53E-01,3.75E-01,5.90E-01,8.20E-01
P0A7K6,50S ribosomal protein L19 OS=Escherichia coli (strain K12) GN=rplS PE=1 SV=2,rplS,9,491.83,13107.18035,2,1.20E-01,3.60E-01,2.76E-01,6.22E-02,9.63E-02,1.40E-01,1.14E-01,9.18E-02,1.79E-01,1.11E-01,8.86E-02,6.79E-02,7.46E-02,5.87E-02,7.67E-02,1.83E-01,1.25E-01,1.53E-01,9.06E-02,5.31E-02,9.65E-02,1.87E-01
P0AA43,Ribosomal small subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rsuA PE=1 SV=1,rsuA,9,550.85,25831.22795,2,6.48E-02,7.79E-02,6.88E-02,3.51E-02,4.81E-02,4.82E-02,5.39E-02,3.91E-02,4.06E-02,3.49E-02,2.81E-02,2.28E-02,3.16E-02,2.58E-02,6.84E-02,6.77E-02,5.79E-02,6.47E-02,4.63E-02,3.50E-02,4.78E-02,6.35E-02
P00960,Glycyl-tRNA synthetase alpha subunit OS=Escherichia coli (strain K12) GN=glyQ PE=1 SV=2,glyQ,9,680.57,34734.16,2,9.57E-02,2.12E-01,1.45E-01,5.27E-02,6.90E-02,7.58E-02,7.03E-02,6.61E-02,7.03E-02,5.69E-02,4.74E-02,4.04E-02,2.87E-02,2.74E-02,6.66E-02,8.75E-02,7.13E-02,8.64E-02,7.00E-02,6.10E-02,8.27E-02,9.28E-02
P0ADB1,Osmotically-inducible lipoprotein E OS=Escherichia coli (strain K12) GN=osmE PE=2 SV=1,osmE,9,531.27,11994.89181,2,9.18E-02,6.58E-02,9.17E-02,1.37E-01,1.31E-01,1.21E-01,1.06E-01,7.51E-02,1.64E-01,1.74E-01,2.34E-01,2.30E-01,2.35E-01,2.73E-01,3.44E-01,1.36E-01,1.62E-01,1.08E-01,1.10E-01,2.34E-01,9.44E-02,6.17E-02
P37440,Oxidoreductase ucpA OS=Escherichia coli (strain K12) GN=ucpA PE=1 SV=3,ucpA,9,621.91,27814.33763,2,5.62E-03,9.06E-02,3.18E-02,1.79E-02,2.19E-02,1.38E-02,1.24E-02,1.49E-02,1.80E-02,2.10E-02,1.92E-02,2.04E-02,5.23E-03,5.46E-03,6.06E-03,3.96E-03,4.19E-03,9.44E-03,2.14E-02,1.31E-02,2.48E-02,8.92E-03
P12996,Biotin synthase OS=Escherichia coli (strain K12) GN=bioB PE=1 SV=2,bioB,9,716.85,38605.23075,2,2.35E-02,6.03E-03,4.94E-02,5.98E-03,1.13E-02,8.98E-03,1.19E-02,4.69E-03,9.54E-03,3.94E-03,3.17E-03,2.04E-03,2.69E-03,7.58E-04,5.19E-03,1.22E-02,2.95E-03,1.27E-02,7.99E-03,6.88E-03,1.43E-02,1.55E-02
P60716,Lipoyl synthase OS=Escherichia coli (strain K12) GN=lipA PE=1 SV=1,lipA,9,519.88,36030.34041,2,2.62E-02,1.61E-01,8.54E-02,2.72E-02,4.32E-02,3.95E-02,3.28E-02,5.14E-02,2.81E-02,2.98E-02,2.27E-02,2.06E-02,1.24E-02,2.63E-03,1.48E-02,1.73E-02,2.89E-02,3.59E-02,3.24E-02,2.59E-02,4.96E-02,5.00E-02
P0AFU8,Riboflavin synthase alpha chain OS=Escherichia coli (strain K12) GN=ribE PE=1 SV=1,ribC,9,520.09,23412.01845,2,2.90E-02,3.77E-02,3.42E-02,2.42E-02,1.88E-02,2.75E-02,2.38E-02,1.84E-02,2.37E-02,1.80E-02,1.69E-02,1.13E-02,1.54E-02,1.34E-02,3.99E-02,3.97E-02,3.30E-02,3.37E-02,1.96E-02,1.87E-02,2.10E-02,2.89E-02
P0AEN1,NAD(P)H-flavin reductase OS=Escherichia coli (strain K12) GN=fre PE=1 SV=2,fre,9,687.25,26207.32303,2,2.80E-02,5.67E-02,5.17E-02,2.74E-02,3.25E-02,3.55E-02,3.13E-02,3.30E-02,3.48E-02,2.84E-02,2.66E-02,2.24E-02,1.64E-02,1.20E-02,4.42E-02,3.19E-02,3.99E-02,3.34E-02,3.25E-02,3.11E-02,3.79E-02,3.61E-02
P0AC86,Glycogen phosphorylase OS=Escherichia coli (strain K12) GN=glgP PE=3 SV=1,glgP,9,692.64,93096.09715,2,2.08E-02,1.80E-02,1.97E-02,2.54E-02,2.18E-02,2.05E-02,2.25E-02,2.94E-02,3.40E-02,2.91E-02,2.88E-02,3.31E-02,2.01E-02,2.52E-02,1.98E-02,2.36E-02,3.52E-02,2.36E-02,2.39E-02,2.05E-02,1.81E-02,2.51E-02
